"returns","datetime","v","vw","o","c","h","l","t","n","ema_fast","ema_slow","rsi","dn","mavg","up","atr","macd","signal"
8.90944248716181e-05,"2023-10-25 14:00:00",155767.033333333,172.051563333333,172.045931666667,172.06126,172.172228333333,171.929168333333,1698244170000,3040.7,172.652887779039,173.291824497662,42.5845635834983,171.715002711583,172.746287669857,173.777572628132,0.352132428804837,-0.368705633098776,-0.369114324570519
-4.31468505959836e-05,"2023-10-25 15:00:00",99955.3833333333,172.434741666667,172.43437,172.42693,172.522273333333,172.344561666667,1698247770000,1052.11666666667,172.632346162763,173.26093540846,45.7837406009288,171.71630653506,172.694244257159,173.672181979258,0.357317233782385,-0.362799175829642,-0.367851294822344
1.19399119562366e-05,"2023-10-25 16:00:00",74806.9166666667,171.697248333333,171.693058333333,171.695108333333,171.757135,171.63887,1698251370000,858.25,172.547142723724,173.205013012919,40.9848763914734,171.601585185067,172.612841100623,173.624097016178,0.37782879407846,-0.379821737114716,-0.370245383280818
-8.15984576207345e-05,"2023-10-25 17:00:00",87782.3,171.218466666667,171.224641666667,171.21067,171.28325,171.158036666667,1698254970000,953.516666666667,172.425645203385,173.133786476744,38.2017496745974,171.384891395677,172.516249870464,173.647608345251,0.385411788011232,-0.409013912170997,-0.377999089058854
4.00966352266259e-06,"2023-10-25 18:00:00",71040.0666666667,171.255788333333,171.25294,171.253626666667,171.311291666667,171.195371666667,1698258570000,790.983333333333,172.319098063684,173.066637912098,38.5900159831501,171.199386224316,172.44059700794,173.681807791565,0.372578845724983,-0.431937580479302,-0.388786787342944
5.96188084449218e-06,"2023-10-25 19:00:00",162348.683333333,171.090216666667,171.086948333333,171.087968333333,171.152581666667,171.02761,1698262170000,1606.1,172.207177179106,172.995971141428,37.6326234514315,171.008124778413,172.376268462967,173.74441214752,0.365599694341253,-0.455960885746121,-0.402221607023579
3.17649183563888e-06,"2023-10-25 20:00:00",82056.6727272727,171.125396363636,171.143636363636,171.14418,171.189636363636,171.089545454545,1698265709454.55,61.5090909090909,172.110541071915,172.92983574352,38.179076731765,170.848362852526,172.312738095001,173.777113337477,0.353031519863243,-0.473772884871082,-0.41653186259308
7.48446718882794e-05,"2023-10-25 21:00:00",1703.08888888889,170.482273333333,170.486417777778,170.499177777778,170.514306666667,170.469475555556,1698269438666.67,48.7777777777778,171.964053499721,172.843026530458,34.5335458440184,170.580951895331,172.236755290769,173.892558686206,0.368349278176632,-0.508538324270824,-0.434933154928629
-0.0001436662696439,"2023-10-25 22:00:00",3470.96153846154,169.75825,169.784513461538,169.760121153846,169.812713461538,169.709713461538,1698272803846.15,78.75,171.763696013732,172.732922767007,30.9751476319593,170.165315030321,172.128614836963,174.091914643605,0.388402375227236,-0.561112923783802,-0.460169108699663
-8.30850880971702e-05,"2023-10-25 23:00:00",1892.63265306122,169.556887755102,169.558165306122,169.54407755102,169.586734693878,169.524283673469,1698276597551.02,44.7755102040816,171.561912517122,172.619035437865,30.0255124438476,169.749444487882,171.980675169001,174.21190585012,0.381137380234357,-0.612402286956026,-0.490615744350936
4.70201326775053e-05,"2023-10-26 08:00:00",1514.40909090909,169.173920454545,169.173181818182,169.181136363636,169.197954545455,169.150909090909,1698308944090.91,33.5454545454545,171.34547832135,172.496253328071,28.4850721124466,169.349732550935,171.776412047308,174.203091543681,0.381710288799925,-0.667130435889418,-0.525918682658632
4.2546150755263e-05,"2023-10-26 09:00:00",1097.32,169.236732,169.228,169.2352,169.2408,169.2192,1698312355200,25.4,171.153634837591,172.379787137783,29.0543684739038,169.033252293022,171.579296636052,174.125340979082,0.366374733922007,-0.711308628784479,-0.562996671883802
9.0705827396572e-06,"2023-10-26 10:00:00",1964.57692307692,169.6113,169.61,169.611538461538,169.619230769231,169.600384615385,1698316493076.92,32,171.01344425795,172.280921113631,32.9553040632218,168.837025356102,171.409265328999,173.981505301897,0.36721549750814,-0.735703551785027,-0.597538047864047
5.34188034188987e-05,"2023-10-26 11:00:00",1914.64285714286,169.375502380952,169.371428571429,169.380476190476,169.391666666667,169.357380952381,1698319788571.43,38.9761904761905,170.864992615453,172.177333794947,31.8271194153782,168.641931249926,171.229451950315,173.816972650703,0.361831783777157,-0.762203218373325,-0.630471081965903
0.000260098651783957,"2023-10-26 12:00:00",8495.26315789474,170.102903508772,170.050187719298,170.09441754386,170.208933333333,169.962666666667,1698323396842.11,115.421052631579,170.794940336217,172.102943928837,38.6418673433073,168.596875632562,171.0861982058,173.575520779038,0.384052038971441,-0.760012329109727,-0.656379331394667
-0.000111588884753203,"2023-10-26 13:00:00",123718.35,170.37286,170.372405,170.353393333333,170.501846666667,170.24144,1698326970000,1888.13333333333,170.754799699591,172.040459978997,40.8923105662248,168.565640293497,170.981587684258,173.397535075019,0.385165233439803,-0.747301117169363,-0.674563688549607
-0.000143367128537187,"2023-10-26 14:00:00",186748.25,168.778076666667,168.785785,168.761586666667,168.933541666667,168.663873333333,1698330570000,3458.48333333333,170.57359851478,171.9233573607,33.0654030819319,168.314793449385,170.805852260978,173.296911072571,0.447277365180765,-0.785093350107335,-0.696669620861152
-0.000103048456764207,"2023-10-26 15:00:00",158106.216666667,167.35522,167.364628333333,167.347381666667,167.444486666667,167.265698333333,1698334170000,1860.86666666667,170.280306074042,171.759929657341,28.0560032065929,167.800234472787,170.554162842988,173.30809121319,0.497211220807078,-0.861448643028173,-0.729625425294557
-0.0001167623786348,"2023-10-26 16:00:00",119362.033333333,166.41145,166.420613333333,166.401181666667,166.476901666667,166.341851666667,1698337770000,1489.08333333333,169.927658400644,171.568545800532,25.3571897090047,167.159516578208,170.251145938226,173.342775298245,0.521416876959122,-0.956403396806194,-0.774981019596884
7.53952410630435e-05,"2023-10-26 17:00:00",103228.3,166.324206666667,166.323495,166.336035,166.395598333333,166.252001666667,1698341370000,1250.86666666667,169.601147182404,171.381670414798,25.1820691888786,166.613690010777,169.957099725075,173.300509439372,0.50369131138964,-1.038922790334,-0.827769373744306
9.5854444816105e-05,"2023-10-26 18:00:00",110200.816666667,167.173528333333,167.163175,167.179198333333,167.24689,167.093646666667,1698344970000,1220.01666666667,169.380970014307,171.231582126175,31.6014295408361,166.292472467551,169.742227873223,173.191983278894,0.523080058466324,-1.08076564433328,-0.878368627862101
-9.10932991043735e-05,"2023-10-26 19:00:00",187448.25,167.196233333333,167.209518333333,167.194286666667,167.294713333333,167.111951666667,1698348570000,1980.7,169.182180619067,171.087393002621,31.7115206788971,166.061497584298,169.511089698619,172.960681812941,0.506874420761578,-1.11359016588967,-0.925412935467614
9.67448451231658e-06,"2023-10-26 20:00:00",42900.8771929825,166.839307017544,166.834221052632,166.835835087719,166.873196491228,166.786719298246,1698352087368.42,78.0877192982456,168.968876479853,170.935551648517,30.4874541483579,165.874249781559,169.244454553813,172.614659326067,0.502145513507267,-1.150536064439,-0.970437561261892
-4.21445813110492e-05,"2023-10-26 21:00:00",7266.93220338983,165.758091525424,165.773166101695,165.766179661017,165.833627118644,165.689333898305,1698355766440.68,93.7457627118644,168.677722223595,170.750931220392,27.1979744096786,165.468781998094,168.961883559283,172.454985120473,0.532829117121882,-1.21417141445681,-1.01918433190088
8.35743434738382e-05,"2023-10-26 22:00:00",3359.12068965517,166.517972413793,166.504655172414,166.518570689655,166.565551724138,166.462063793103,1698359373103.45,37.6379310344828,168.48143572051,170.599775487152,32.571262116415,165.249094446056,168.737982440874,172.226870435692,0.545521638359934,-1.24170138008254,-1.06368774153721
3.3406869917706e-05,"2023-10-26 23:00:00",2230.05769230769,166.944365384615,166.939407692308,166.944984615385,166.969790384615,166.914025,1698363083076.92,33.0769230769231,168.341758347317,170.469247241731,35.4082079003162,165.154506828492,168.532720694843,171.910934561193,0.541031069626614,-1.2480191757976,-1.10055402838929
